,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,sensitivity,balanced_accuracy,mcc,brier_score,log_loss,ece,calibration_method,net_benefit_10pct,net_benefit_20pct
LogisticRegression,0.6896551724137931,0.375,0.42857142857142855,0.4,0.7370129870129869,0.49979136900319165,0.7727272727272727,0.42857142857142855,0.6006493506493507,0.1927288333795226,0.1901738467686023,2.8266317423439706,0.18859759313965493,isotonic,0.1685823754789272,0.09482758620689655
RandomForest,0.6551724137931034,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.7207792207792207,0.47889610389610393,0.6818181818181818,0.5714285714285714,0.6266233766233766,0.2233426431418161,0.22105678871614087,2.9326959555341605,0.13148728665970047,isotonic,0.11111111111111112,0.07758620689655173
XGBoost,0.6551724137931034,0.3333333333333333,0.42857142857142855,0.375,0.762987012987013,0.4991296518607443,0.7272727272727273,0.42857142857142855,0.577922077922078,0.14414999403128945,0.21588382124900818,1.5184693336486816,0.19065026707690336,isotonic,0.20306513409961688,0.09482758620689655
LightGBM,0.6896551724137931,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.7467532467532467,0.520157091049586,0.8181818181818182,0.2857142857142857,0.551948051948052,0.10975392972191635,0.21528819063337296,2.8822511588933684,0.16843693074708793,isotonic,0.16475095785440613,0.11206896551724138
CatBoost,0.7586206896551724,0.5,0.2857142857142857,0.36363636363636365,0.7175324675324676,0.5715706707086017,0.9090909090909091,0.2857142857142857,0.5974025974025974,0.24174688920761409,0.18992622147401872,2.8162457042727316,0.17901995568074075,isotonic,0.14559386973180077,0.05172413793103448
NeuralNetwork,0.6896551724137931,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.5487012987012986,0.402533427163969,0.8181818181818182,0.2857142857142857,0.551948051948052,0.10975392972191635,0.2426986725005878,6.402310873072024,0.2545801309242326,isotonic,0.04980842911877394,0.02586206896551724
