Model,ROC-AUC,Brier-Score,ECE,Latency-MS,Passed-Fairness,Utility-Score
XGBoost,0.762987012987013,0.21588382124900818,0.19065026707690336,0.1661070344831889,NO,1.7222691718479104
LogisticRegression,0.7370129870129869,0.1901738467686023,0.18859759313965493,0.05209420689613486,NO,1.6852996475458197
LightGBM,0.7467532467532467,0.21528819063337296,0.16843693074708793,0.4883505517243285,NO,1.6707276890796323
RandomForest,0.7207792207792207,0.22105678871614087,0.13148728665970047,0.4952719310344476,NO,1.6285015392617557
CatBoost,0.7175324675324676,0.18992622147401872,0.17901995568074075,0.04408779310324462,NO,1.6278287365100268
NeuralNetwork,0.5487012987012986,0.2426986725005878,0.2545801309242326,0.10812772413781455,NO,0.6894348155417722
